2019-05-27 12:51:44.579 [main] INFO  - Loading §anukkit.yml§f ...
2019-05-27 12:52:32.361 [main] INFO  - §2/particle: §fAdds particles to a world
2019-05-27 12:52:32.363 [main] INFO  - §2/plugins: §fGets a list of plugins running on the server
2019-05-27 12:52:32.365 [main] INFO  - §2/reload: §fReloads the server configuration and plugins
2019-05-27 12:52:32.368 [main] INFO  - §2/save-all: §fSaves the server to disk
2019-05-27 12:52:32.370 [main] INFO  - §2/save-off: §fDisables server autosaving
2019-05-27 12:52:32.373 [main] INFO  - §2/save-on: §fEnables server autosaving
2019-05-27 12:52:32.375 [main] INFO  - §2/say: §fBroadcasts the given message as the sender
2019-05-27 12:52:32.378 [main] INFO  - §2/seed: §fShows the world seed
2019-05-27 12:52:32.380 [main] INFO  - §2/setworldspawn: §fSets a worlds's spawn point. If no coordinates are specified, the player's coordinates will be used.
2019-05-27 12:52:32.383 [main] INFO  - §2/spawnpoint: §fSets a player's spawn point
2019-05-27 12:52:32.385 [main] INFO  - §2/status: §fReads back the server's performance.
2019-05-27 12:52:32.387 [main] INFO  - §2/stop: §fStops the server
2019-05-27 12:52:32.390 [main] INFO  - §2/tell: §fSends a private message to the given player
2019-05-27 12:52:32.392 [main] INFO  - §2/time: §fChanges the time on each world
2019-05-27 12:52:32.394 [main] INFO  - §2/timings: §fRecords timings to see performance of the server.
2019-05-27 12:52:32.397 [main] INFO  - §2/title: §fSends a title to the specified player or modifies title settings for that player
2019-05-27 12:52:32.399 [main] INFO  - §2/tp: §fTeleports the given player (or yourself) to another player or coordinates
2019-05-27 12:52:32.401 [main] INFO  - §2/version: §fGets the version of this server including any plugins in use
2019-05-27 12:52:32.402 [main] INFO  - §2/weather: §fSets the weather in current world
2019-05-27 12:52:32.404 [main] INFO  - §2/whitelist: §fManages the list of players allowed to use this server
2019-05-27 12:52:32.405 [main] INFO  - §2/xp: §fGives the specified player a certain amount of experience
2019-05-27 12:53:02.005 [main] INFO  - This server is running Nukkit git-131fb2b 「」 implementing API version 1.0.8 for Minecraft: PE v1.11.0 (protocol version 354)
2019-05-27 12:53:18.304 [main] INFO  - [CONSOLE: Stopping the server]
2019-05-27 12:53:18.356 [main] INFO  - Unloading level "§abadgerset§f"
2019-05-27 12:53:18.369 [main] INFO  - Unloading level "§anether§f"
2019-05-27 12:53:18.504 [main] INFO  - Stopping other threads
